site,region,site_clean,island
ANACAPA_EAST_ISLE_CEN,East,EAST ISLE CEN,Anacapa
ANACAPA_EAST_ISLE_E,East,EAST ISLE E,Anacapa
ANACAPA_EAST_ISLE_W,East,EAST ISLE W,Anacapa
ANACAPA_LIGHTHOUSE_REEF_CEN,East,LIGHTHOUSE REEF CEN,Anacapa
ANACAPA_LIGHTHOUSE_REEF_E,East,LIGHTHOUSE REEF E,Anacapa
ANACAPA_LIGHTHOUSE_REEF_W,East,LIGHTHOUSE REEF W,Anacapa
ANACAPA_MIDDLE_ISLE_CEN,East,MIDDLE ISLE CEN,Anacapa
ANACAPA_MIDDLE_ISLE_E,East,MIDDLE ISLE E,Anacapa
ANACAPA_MIDDLE_ISLE_W,East,MIDDLE ISLE W,Anacapa
ANACAPA_WEST_ISLE_CEN,East,WEST ISLE CEN,Anacapa
ANACAPA_WEST_ISLE_E,East,WEST ISLE E,Anacapa
ANACAPA_WEST_ISLE_W,East,WEST ISLE W,Anacapa
ARROYO_QUEMADO_E,Mainland,ARROYO QUEMADO E,Mainland
ARROYO_QUEMADO_W,Mainland,ARROYO QUEMADO W,Mainland
HORSESHOE_REEF_E,Mainland,HORSESHOE REEF E,Mainland
HORSESHOE_REEF_W,Mainland,HORSESHOE REEF W,Mainland
IV_REEF_E,Mainland,IV REEF E,Mainland
IV_REEF_W,Mainland,IV REEF W,Mainland
NAPLES_CEN,Mainland,NAPLES CEN,Mainland
NAPLES_E,Mainland,NAPLES E,Mainland
NAPLES_W,Mainland,NAPLES W,Mainland
SCI_CAVERN_POINT_E,East,CAVERN POINT E,Santa Cruz
SCI_CAVERN_POINT_W,East,CAVERN POINT W,Santa Cruz
SCI_COCHE_POINT_E,East,COCHE POINT E,Santa Cruz
SCI_COCHE_POINT_W,East,COCHE POINT W,Santa Cruz
SCI_FORNEY_E,West,FORNEY E,Santa Cruz
SCI_FORNEY_W,West,FORNEY W,Santa Cruz
SCI_GULL_ISLE_E,East,GULL ISLE E,Santa Cruz
SCI_GULL_ISLE_W,East,GULL ISLE W,Santa Cruz
SCI_HAZARDS_CEN,West,HAZARDS CEN,Santa Cruz
SCI_HAZARDS_E,West,HAZARDS E,Santa Cruz
SCI_HAZARDS_W,West,HAZARDS W,Santa Cruz
SCI_PAINTED_CAVE_CEN,West,PAINTED CAVE CEN,Santa Cruz
SCI_PAINTED_CAVE_E,West,PAINTED CAVE E,Santa Cruz
SCI_PAINTED_CAVE_W,West,PAINTED CAVE W,Santa Cruz
SCI_PELICAN_CEN,East,PELICAN CEN,Santa Cruz
SCI_PELICAN_E,East,PELICAN E,Santa Cruz
SCI_PELICAN_W,East,PELICAN W,Santa Cruz
SCI_SCORPION_E,East,SCORPION E,Santa Cruz
SCI_SCORPION_W,East,SCORPION W,Santa Cruz
SCI_VALLEY_CEN,East,VALLEY CEN,Santa Cruz
SCI_VALLEY_E,East,VALLEY E,Santa Cruz
SCI_VALLEY_W,East,VALLEY W,Santa Cruz
SCI_YELLOWBANKS_CEN,East,YELLOWBANKS CEN,Santa Cruz
SCI_YELLOWBANKS_W,East,YELLOWBANKS W,Santa Cruz
SMI_CUYLER_E,West,CUYLER E,San Miguel
SMI_CUYLER_W,West,CUYLER W,San Miguel
SMI_HARRIS_PT_RESERVE_E,West,HARRIS PT RESERVE E,San Miguel
SMI_HARRIS_PT_RESERVE_W,West,HARRIS PT RESERVE W,San Miguel
SRI_CLUSTER_POINT_N,West,CLUSTER POINT N,Santa Rosa
SRI_CLUSTER_POINT_S,West,CLUSTER POINT S,Santa Rosa
SRI_JOHNSONS_LEE_SOUTH_E,West,JOHNSONS LEE SOUTH E,Santa Rosa
SRI_JOHNSONS_LEE_SOUTH_W,West,JOHNSONS LEE SOUTH W,Santa Rosa
SRI_SOUTH_POINT_E,West,SOUTH POINT E,Santa Rosa
SRI_SOUTH_POINT_W,West,SOUTH POINT W,Santa Rosa